user_id,activity,timestamp,acc_x,acc_y,acc_z
1,Standing,1499193218448,-7.535,-0.246,0.248
1,Standing,1499193218498,-7.462,0.251,0.265
1,Standing,1499193218546,-7.449,0.349,0.636
1,Standing,1499193218595,-7.558,-0.185,0.156
1,Standing,1499193218644,-7.822,0.041,0.292
1,Standing,1499193218693,-7.835,0.085,0.412
1,Standing,1499193218743,-7.796,-0.091,0.099
1,Standing,1499193218791,-7.785,0.066,0.355
1,Standing,1499193218839,-7.83,0.013,0.275
1,Standing,1499193218888,-7.773,0.005,0.189
1,Standing,1499193218937,-7.816,0.089,0.33
1,Standing,1499193218986,-7.785,-0.013,0.22
1,Standing,1499193219036,-7.832,0.017,0.238
1,Standing,1499193219083,-7.806,0.056,0.289
1,Standing,1499193219133,-7.824,-0.023,0.216
1,Standing,1499193219181,-7.8,0.005,0.257
1,Standing,1499193219230,-7.822,0.048,0.191
1,Standing,1499193219279,-7.753,0.035,0.275
1,Standing,1499193219328,-7.787,0.042,0.244
1,Standing,1499193219376,-7.763,0.013,0.207
1,Standing,1499193219426,-7.789,-0.007,0.173
1,Standing,1499193219474,-7.732,0.115,0.193
1,Standing,1499193219523,-7.888,0.037,0.076
1,Standing,1499193219573,-7.804,0.068,0.296
1,Standing,1499193219621,-7.73,-0.072,0.166
1,Standing,1499193219670,-7.791,0.105,0.179
1,Standing,1499193219718,-7.845,0.125,0.328
1,Standing,1499193219768,-7.751,-0.082,0.179
1,Standing,1499193219817,-7.839,0.007,0.296
1,Standing,1499193219865,-7.826,0.093,0.277
1,Standing,1499193219913,-7.806,-0.056,0.216
1,Standing,1499193219962,-7.787,0.035,0.236
1,Standing,1499193220011,-7.779,0.117,0.228
1,Standing,1499193220060,-7.765,-0.011,0.214
1,Standing,1499193220110,-7.771,0.001,0.25
1,Standing,1499193220158,-7.796,-0.019,0.171
1,Standing,1499193220207,-7.693,0.021,0.363
1,Standing,1499193220257,-7.804,-0.001,0.189
1,Standing,1499193220304,-7.792,0.035,0.283
1,Standing,1499193220353,-7.783,0.097,0.248
1,Standing,1499193220402,-7.8,0.001,0.203
1,Standing,1499193220450,-7.791,0.039,0.277
1,Standing,1499193220499,-7.833,0.074,0.195
1,Standing,1499193220549,-7.73,-0.033,0.314
1,Standing,1499193220597,-7.822,0.001,0.179
1,Standing,1499193220647,-7.8,0.082,0.279
1,Standing,1499193220695,-7.773,0.031,0.248
1,Standing,1499193220745,-7.771,0.007,0.212
1,Standing,1499193220793,-7.753,0.044,0.265
1,Standing,1499193220841,-7.806,0.013,0.25
1,Standing,1499193220890,-7.804,-0.048,0.292
1,Standing,1499193220939,-7.83,0.037,0.259
1,Standing,1499193220988,-7.796,0.044,0.244
1,Standing,1499193221037,-7.818,-0.001,0.267
1,Standing,1499193221085,-7.787,0.005,0.21
1,Standing,1499193221135,-7.81,0.003,0.207
1,Standing,1499193221183,-7.785,-0.007,0.208
1,Standing,1499193221232,-7.792,0.021,0.224
1,Standing,1499193221282,-7.798,0.009,0.228
1,Standing,1499193221329,-7.779,-0.009,0.257
1,Standing,1499193221379,-7.796,0.011,0.269
1,Standing,1499193221427,-7.833,0.039,0.222
1,Standing,1499193221476,-7.798,0.017,0.277
1,Standing,1499193221525,-7.787,-0.052,0.162
1,Standing,1499193221573,-7.81,0.06,0.228
1,Standing,1499193221623,-7.814,0.05,0.208
1,Standing,1499193221671,-7.789,0.013,0.244
1,Standing,1499193221720,-7.804,0.064,0.265
1,Standing,1499193221769,-7.824,0.001,0.253
1,Standing,1499193221819,-7.787,-0.044,0.234
1,Standing,1499193221868,-7.796,0.058,0.257
1,Standing,1499193221917,-7.804,0.031,0.24
1,Standing,1499193221965,-7.763,0,0.244
1,Standing,1499193222014,-7.781,0.027,0.191
1,Standing,1499193222062,-7.746,0.056,0.251
1,Standing,1499193222111,-7.828,0.001,0.224
1,Standing,1499193222160,-7.767,-0.007,0.283
1,Standing,1499193222208,-7.796,0.027,0.232
1,Standing,1499193222257,-7.806,0.031,0.281
1,Standing,1499193222306,-7.83,0.001,0.203
1,Standing,1499193222356,-7.771,0.05,0.3
1,Standing,1499193222404,-7.796,0.013,0.207
1,Standing,1499193222452,-7.835,0.011,0.269
1,Standing,1499193222501,-7.759,0.046,0.281
1,Standing,1499193222550,-7.837,0.023,0.216
1,Standing,1499193222600,-7.798,0.019,0.199
1,Standing,1499193222649,-7.802,0.054,0.285
1,Standing,1499193222697,-7.779,0.015,0.261
1,Standing,1499193222746,-7.773,0.021,0.275
1,Standing,1499193222794,-7.791,0.023,0.265
1,Standing,1499193222843,-7.775,0.023,0.248
1,Standing,1499193222894,-7.8,0.015,0.257
1,Standing,1499193222941,-7.802,0.009,0.246
1,Standing,1499193222991,-7.779,0.035,0.253
1,Standing,1499193223038,-7.779,0.044,0.236
1,Standing,1499193223087,-7.757,0.017,0.207
1,Standing,1499193223136,-7.8,0.074,0.236
1,Standing,1499193223185,-7.792,0.029,0.232
1,Standing,1499193223234,-7.751,-0.011,0.269
1,Standing,1499193223282,-7.808,0.042,0.222
1,Standing,1499193223331,-7.755,0.037,0.222
1,Standing,1499193223380,-7.796,0.009,0.271
1,Standing,1499193223430,-7.775,0.023,0.257
1,Standing,1499193223478,-7.789,0.048,0.232
1,Standing,1499193223528,-7.779,0.021,0.218
1,Standing,1499193223575,-7.789,-0.013,0.25
1,Standing,1499193223624,-7.781,0.025,0.296
1,Standing,1499193223673,-7.798,0.009,0.248
1,Standing,1499193223722,-7.796,-0.015,0.201
1,Standing,1499193223771,-7.832,0.013,0.271
1,Standing,1499193223820,-7.798,0.039,0.279
1,Standing,1499193223869,-7.785,0.001,0.261
1,Standing,1499193223917,-7.773,0.023,0.244
1,Standing,1499193223967,-7.82,0.037,0.246
1,Standing,1499193224015,-7.785,0.005,0.285
1,Standing,1499193224065,-7.796,-0.013,0.224
1,Standing,1499193224113,-7.777,0.017,0.199
1,Standing,1499193224163,-7.779,0.039,0.24
1,Standing,1499193224210,-7.792,0.058,0.25
1,Standing,1499193224260,-7.798,0.042,0.3
1,Standing,1499193224308,-7.812,0.033,0.228
1,Standing,1499193224357,-7.779,0.048,0.238
1,Standing,1499193224406,-7.798,0.013,0.279
1,Standing,1499193224455,-7.773,0.033,0.273
1,Standing,1499193224504,-7.814,0.001,0.259
1,Standing,1499193224552,-7.828,0.029,0.228
1,Standing,1499193224602,-7.798,0.017,0.261
1,Standing,1499193224650,-7.757,0.041,0.23
1,Standing,1499193224699,-7.769,0.025,0.238
1,Standing,1499193224748,-7.792,-0.007,0.216
1,Standing,1499193224797,-7.822,0.003,0.25
1,Standing,1499193224846,-7.775,0.035,0.232
1,Standing,1499193224895,-7.806,0.031,0.214
1,Standing,1499193224942,-7.785,-0.005,0.224
1,Standing,1499193224992,-7.765,-0.005,0.236
1,Standing,1499193225040,-7.773,0.029,0.224
1,Standing,1499193225089,-7.779,0.029,0.277
1,Standing,1499193225138,-7.806,0.015,0.207
1,Standing,1499193225187,-7.775,0.029,0.257
1,Standing,1499193225237,-7.808,0.05,0.257
1,Standing,1499193225284,-7.777,0.017,0.197
1,Standing,1499193225334,-7.781,0.005,0.208
1,Standing,1499193225384,-7.812,0.07,0.199
1,Standing,1499193225431,-7.771,0.015,0.25
